KEGGID	Name	GeneList
D01093	Butenafine hydrochloride (JP17/USAN), Mentax (TN), Volley (TN)	 
D01094	Pyrrolnitrin (JP17/USAN/INN)	 
D01095	Hemocuron (TN), Tribenoside (JAN/USAN/INN)	 
D01096	Atarax-P (TN), Hydroxyzine pamoate (JP17/USP), Vistaril pamoate (TN)	3269
D01097	Lazabemide hydrochloride (JAN/USAN), Tempium (TN)	4129
D01098	Maxacalcitol (JAN/USAN/INN), Oxarol (TN), Prezios (TN)	7421
D01099	Iocarmic acid (JAN/USAN/INN)	 
D01100	Catalin-K (TN), Pirenoxine (JP17/INN)	 
D01101	Bromperidol (JAN/USAN/INN), Impromen (TN)	1813
D01102	Esonarimod (JAN/INN)	 
D01103	Spasmex (TN), Spasmoplex (TN), Trospium chloride (JAN/USAN/INN)	1129, 1131
D01104	Barnidipine hydrochloride (JAN), Hypoca (TN)	775, 776, 778, 779
D01105	Luvatren (TN), Moperone hydrochloride (JAN)	1813
D01106	Eprazinone hydrochloride (JAN), Resplen (TN)	 
D01107	Milnacipran hydrochloride (JAN/USAN), Savella (TN), Toledomin (TN)	6530, 6532
D01108	Conclyte-Mg (TN), Magnesium sulfate (USP), Magnesium sulfate heptahydrate, Magnesium sulfate hydrate (JP17)	 
D01109	Exametazime (JAN/USAN/INN)	 
D01110	Melitracen hydrochloride (JAN/USAN)	 
D01111	Nateglinide (JP17/USAN/INN), Starsis (TN)	3767, 6833
D01112	Adapalene (JAN/USAN/INN), Differin (TN)	5915, 5916, 6257, 6258
D01113	Loxiglumide (JAN/INN)	886
D01114	Ethylenediamine (USP/JP17)	 
D01115	Eplerenone (JP17/USAN/INN), Inspra (TN)	4306
D01116	Bucetin (JAN/INN)	 
D01117	Mizolastine (JAN/INN), Mizollen (TN)	3269
D01118	Ethopropazine hydrochloride, Parkin (TN), Parsidol (TN), Profenamine hydrochloride (JAN)	1128, 1129, 1131, 1132, 1133
D01119	Acecol (TN), Temocapril hydrochloride (JP17/USAN)	1636
D01120	Glutaral (JAN/USP/INN), Sonacide (TN), Sterihyde L (TN)	 
D01121	Mucosta (TN), Rebamipide (JP17/INN)	 
D01122	Ibuprofen piconol (JP17/USAN), Staderm (TN)	5742, 5743
D01123	Bronica (TN), Seratrodast (JAN/USAN/INN)	6915
D01124	Zinc undecylenate (JAN/USP), Zinc undecylenate (TN)	 
D01125	Calcipotriene (USAN), Calcipotriol (JAN), Dovonex (TN)	7421
D01126	Arginine hydrochloride (USP), L-Arginine hydrochloride (JP17), R-gene (TN)	 
D01127	Sulfatolamide (JAN/INN)	 
D01128	Baynas (TN), Ramatroban (JAN/INN)	5729, 6915
D01129	Doramectin (JAN/USAN/INN)	 
D01130	Norzine (TN), Thiethylperazine maleate (JAN/USP)	1813
D01131	Lafutidine (JP17/INN), Protecadin (TN)	3274
D01132	Avage (TN), Fabior (TN), Tazarotene (JAN/USAN/INN), Tazorac (TN)	5914, 5915, 5916, 6257
D01133	Acardi (TN), Pimobendan (JAN/USAN/INN)	5139, 5140
D01134	Epristeride (JAN/USAN/INN)	6715, 6716
D01135	Efloxate (JAN/INN)	 
D01136	Cyklokapron (TN), Rikavarin (TN), Tranexamic acid (JP17/USAN/INN), Transamin (TN)	5340
D01137	Gadoteridol (JAN/USP/INN), ProHance (TN)	 
D01138	Benylate (TN), Benzyl benzoate (JP17/USP)	 
D01139	Ammonium chloride (JAN/USP), Conclyte-A (TN)	 
D01140	Benzethonium chloride (JP17/USP/INN), Hyamine (TN), Microklenz (TN), Neostelin green (TN)	 
D01141	Daimeton (TN), Sulfamonomethoxine (JAN/USAN/INN)	 
D01142	Abcid (TN), Agribon (TN), Sulfadimethoxine (JAN/USP)	 
D01143	Andantol (TN), Isothipendyl hydrochloride (JAN)	3269
D01144	PUFX, Prulifloxacin (JAN/INN), Sword (TN)	 
D01145	Azelnidipine (JP17/INN), Calblock (TN)	775, 776, 778, 779
D01146	Iguratimod (JAN/INN)	4790
D01147	Acuatim (TN), NDFX, Nadifloxacin (JAN/INN)	 
D01148	Detrol (TN), Detrusitol (TN), Tolterodine tartrate (JAN/USAN)	1131
D01149	Oxabolone cipionate (JAN/INN)	367
D01150	Methyprylon (JAN/INN), Noludar (TN)	2554
D01151	Lemildipine (JAN/INN)	775, 776, 778, 779
D01152	Oxetacaine (INN), Oxethazaine (JP17/USAN), Strocain (TN)	11280, 6323, 6326, 6328, 6329, 6331, 6334, 6335, 6336
D01153	PZFX, Pazufloxacin (JAN/INN)	 
D01154	Potassium acetate (JAN/USP), Potassium acetate (TN)	 
D01155	Gemcitabine hydrochloride (JAN/USAN), Gemzar (TN)	6240
D01156	Amelometasone (JAN/INN)	 
D01157	CFPM, Cefepime dihydrochloride hydrate (JP17), Cefepime hydrochloride (USP), Maxipime (TN)	 
D01158	Furazabol (JAN/INN), Miotolan (TN)	 
D01159	Depostat (TN), Gestonorone caproate (JAN/USAN)	5241
D01160	Invirase (TN), Saquinavir mesilate (JAN), Saquinavir mesylate (USP)	 
D01161	Faslodex (TN), Fulvestrant (JAN/USAN/INN)	2099, 2100
D01162	Verteporfin (JAN/USAN/INN), Visudyne (TN)	 
D01163	Ergometrine (TN), Ergometrine maleate (JP17), Ergonovine maleate (USP)	146, 147, 148, 150, 151, 152
D01164	Abilify (TN), Aripiprazole (JAN/USAN/INN)	1813, 1814, 3350, 3356
D01165	Dactil (TN), Piperidolate hydrochloride (JAN)	1128, 1129, 1131, 1132, 1133
D01166	Mafenide acetate (JAN/USP), Sulfamylon (TN)	 
D01167	Magmitt (TN), Magnesium oxide (JP17/USP)	 
D01168	Potassium hydroxide (JP17/NF), Potassium hydroxide (TN)	 
D01169	Sodium hydroxide (JP17/NF), Sodium hydroxide (TN)	 
D01170	Zinc oxide (JP17/USP), Zinc oxide (TN)	 
D01171	Monatepil maleate (JAN/USAN)	146, 147, 148, 775, 776, 778, 779
D01172	Diphenylpyraline hydrochloride (JAN), Hispril (TN), Vena (TN)	3269
D01173	Atelec (TN), Cilnidipine (JP17/INN)	774, 775, 776, 778, 779
D01174	Pheniramine maleate (JAN/USP)	3269
D01175	Actinamin (TN), Carpronium chloride (JAN/INN), Furozin (TN)	1128, 1129, 1131, 1132, 1133
D01176	AD 5423, Blonanserin (JAN/INN)	1813, 1814, 3356
D01177	Remifentanil hydrochloride (JAN/USAN), Ultiva (TN)	4988
D01178	Phenethicillin potassium (JP17), Pheneticillin potassium, Syncillin (TN), Synthepen (TN)	 
D01179	Cymbalta (TN), Duloxetine hydrochloride (JAN/USP), Yentreve (TN)	6530, 6532
D01180	Desopan (TN), Modrenal (TN), Trilostane (JAN/USAN)	3283, 3284
D01181	Iobitridol (JAN/INN)	 
D01182	Alprenolol hydrochloride (JP17/USAN), Regletin (TN)	153, 154, 155
D01183	Clotam (TN), Tolfenamic acid (JAN/INN)	5742, 5743
D01184	Neuvita (TN), Octotiamine (JAN/INN), Puroffit (TN)	 
D01185	Protizinic acid (JAN/INN)	 
D01186	Deferoxamine mesilate (JP17), Deferoxamine mesylate (USP), Desferal (TN)	 
D01187	Betazole hydrochloride (JAN), Histalog (TN)	3274
D01188	Pimilprost (JAN/INN)	5739
D01189	Metiazinic acid (JAN/INN)	 
D01190	Ethylphenacemide (JAN), Pheneturide (INN)	 
D01191	Bisoxatin acetate (JAN/USAN)	 
D01192	Allelock (TN), Olopatadine hydrochloride (JP17/USAN), Opatanol (TN), Patanol (TN)	3269
D01193	Osutidine (JAN/INN), T 593	3274
D01194	Feostat (TN), Ferrous fumarate (JAN/USP), Ferrum (TN)	 
D01195	Prothionamide (JP17), Protionamide (INN), Trevintix (TN)	 
D01196	Acetazolamide sodium (JAN), Diamox (TN)	11238, 23632, 377677, 759, 760, 761, 762, 763, 765, 766, 767, 768, 771
D01197	Bencyclane fumarate (JAN), Halidor (TN)	 
D01198	Toborinone (JAN/USAN/INN)	5139, 5140
D01199	Emtricitabine (JAN/USAN/INN), Emtriva (TN)	 
D01200	Phenol red, Phenolsulfonphthalein (JP17/NF), Phenolsulfonphthalein (TN)	 
D01201	Tiemonium iodide (JAN/INN), Visceralgine (TN)	1128, 1129, 1131, 1132, 1133
D01202	Artes (TN), Melinamide (JAN)	6646, 8435
D01203	Meylon (TN), Neut (TN), Sodium bicarbonate (JP17/USP)	 
D01204	Benicar (TN), Olmesartan medoxomil (JP17/USAN), Olmetec (TN)	185
D01205	Dexmedetomidine hydrochloride (JAN/USAN), Precedex (TN)	150, 151, 152
D01206	Feburic (TN), Febuxostat (JAN/USAN/INN), Uloric (TN)	7498
D01207	Losec sodium (TN), Omeprazole sodium (USAN)	495, 496
D01208	Alfibrate (TN), Aluminum clofibrate (JAN/INN)	5465
D01209	Albamycin (TN), NB, Novobiocin sodium (JAN/USP)	 
D01210	Gludiase (TN), Glybuzole (JAN/INN)	 
D01211	Calcium folinate (JP17), Leucovorin calcium (USP), Uzel (TN), Wellcovorin (TN)	 
D01212	Cholesolvin (TN), Simfibrate (JAN/INN)	 
D01213	Samsca (TN), Tolvaptan (JAN/USAN/INN)	554
D01214	Tobicillin (JAN/INN)	 
D01215	Alcuronium chloride (JAN/USAN/INN), Alloferin (TN)	 
D01216	Kelfizina (TN), Sulfalene (USAN), Sulfamethopyrazine (JAN)	 
D01217	Duphaston (TN), Dydrogesterone (JP17/USP/INN), Gynorest (TN)	5241
D01218	Fezatione (JAN/INN)	 
D01219	Forit (TN), Oxypertine (JAN/USAN/INN)	 
D01220	Rocornal (TN), Trapidil (JP17/INN)	10846, 27115, 50940, 5136, 5137, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5150, 5151, 5153, 6916, 8622
D01221	Hi-Z (TN), gamma Oryzanol (JAN)	 
D01222	Citric acid (TN), Citric acid hydrate (JP17), Citric acid monohydrate (USP)	 
D01223	Capecitabine (JAN/USAN/INN), Xeloda (TN)	7298
D01224	Phenylpropanolamine hydrochloride (JAN/USP)	146, 147, 148, 150, 151, 152, 153, 154, 155
D01225	Cocarboxylase (JAN/INN), Coenzymate (TN), Thiamine pyrophosphate	 
D01226	Dogmatyl (TN), Sulpiride (JP17/USAN/INN)	1813
D01227	Bosentan (USAN), Bosentan hydrate (JAN), Tracleer (TN)	1909, 1910
D01228	Distigmine bromide (JP17/INN), Ubretid (TN)	43
D01229	Haldrone (TN), Paramethasone acetate (JAN/USP)	2908
D01230	Flunitrazepam (JP17/USAN/INN), Rohypnol (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01231	Piroheptine hydrochloride (JAN), Trimol (TN)	1128, 1129, 1131, 1132, 1133
D01232	Nicametate citrate (JAN)	 
D01233	Ildamen (TN), Oxyfedrine hydrochloride (JAN)	 
D01234	Pantethine (JP17), Pantosin (TN)	 
D01235	JM, Josamycin (JP17/USAN/INN), Josamycin (TN), Leucomycin A3	 
D01236	Conivaptan hydrochloride (JAN/USAN), Vaprisol (TN)	552, 554
D01237	Amogastrin (JAN/INN)	 
D01238	Actosin (TN), Bucladesine sodium (JAN)	10846, 27115, 50940, 5136, 5137, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5150, 5151, 5153, 8622
D01239	Kohakusanin (TN), Prednisolone sodium succinate (JP17/USP)	2908
D01240	Cedilanid-d (TN), Deslanoside (JP17/USP/INN)	476, 477, 478, 480
D01241	Penflutizide (JAN/INN)	6559
D01242	Avomine (TN), Promethazine teoclate (JAN/INN)	3269
D01243	Citanest (TN), Prilocaine hydrochloride (USP), Propitocaine hydrochloride (JAN)	11280, 6323, 6326, 6328, 6329, 6331, 6334, 6335, 6336
D01244	Atillon (TN), Tegafur (JP17/USAN/INN)	7298
D01245	Bromazepam (JP17/USAN/INN), Lectopam (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01246	Behyd (TN), Benzylhydrochlorothiazide (JAN)	6559
D01247	Ethiazide (JAN/INN)	 
D01248	Acrinol hydrate (JP17), Antidiar 200 (TN), Ethacridine lactate	 
D01249	Floxapen (TN), Flucloxacillin sodium (JAN), Flucloxacillin sodium hydrate	 
D01250	Berberine chloride hydrate (JP17), Kyoberin (TN)	 
D01251	Amcill (TN), Ampicillin hydrate (JP17), Ampicillin trihydrate	 
D01252	Alclofenac (JAN/USP/INN), Mervan (TN)	5743
D01253	Clobazam (JAN/USAN/INN), Mystan (TN), Onfi (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01254	Emandaxin (TN), Tofisopam (JP17/INN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01255	Benfotiamine (JAN/INN), Biotamin (TN)	 
D01256	Anhydron (TN), Cyclothiazide (JAN/USAN/INN)	 
D01257	Siccanin (JAN/INN), Siccanin (TN)	 
D01258	Iotalamic acid (JP17/INN), Iothalamic acid (USP)	 
D01259	Ephtanon (TN), Flopropione (JP17/INN)	1312
D01260	Astomatop (TN), Carbetapentane citrate, Pentoxyverine citrate (JP17)	 
D01261	Fluorescein (JAN/USP), Fluorescite (TN)	 
D01262	CEC, Cefacetrile sodium (JAN), Celtol (TN), Cephacetrile sodium (USAN)	 
D01263	Ritodrine hydrochloride (JP17/USP), Yutopar (TN)	154
D01264	Cerubidine (TN), Daunorubicin hydrochloride (JP17/USP)	7153, 7155
D01265	Epitiostanol (JAN/INN)	2099, 2100
D01266	Difluprednate (JAN/USAN/INN), Durezol (TN)	2908
D01267	Floctafenine (JAN/USAN/INN), Idarac (TN)	 
D01268	Cloxazolam (JP17/INN), Sepazon (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01269	Solifenacin succinate (JAN/USAN/INN), Vesicare (TN)	1131
D01270	Carboquone (JAN/INN), Esquinon (TN)	 
D01271	Anderm (TN), Bufexamac (JAN/INN)	5742, 5743
D01272	Clobetasol propionate (JP17/USP), Clobex (TN), Cormax (TN), Olux (TN)	2908
D01273	Clobetasone butyrate (JAN/USAN), Kindavate (TN)	2908
D01274	Tesaglitazar (JAN/USAN/INN)	5465, 5468
D01275	Adriacin (TN), Adriamycin (TN), Doxil (TN), Doxorubicin hydrochloride (JP17/USP), Rubex (TN)	7153, 7155
D01276	Atazanavir sulfate (JAN/USAN), Reyataz (TN)	 
D01277	Dops (TN), Droxidopa (JP17/INN), Northera (TN)	146, 147, 148, 150, 151, 152, 153, 154, 155
D01278	Oxazolam (JP17/INN), Serenal (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01279	Flutoprazepam (JP17/INN), Restas (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01280	Athrombin-K (TN), Warfarin potassium (JP17)	1728, 79001
D01281	Cyclofenil (JAN/INN), Sexovid (TN)	 
D01282	Etamsylate (JAN/INN), Ethamsylate (USAN)	 
D01283	Carbenicillin indanyl sodium (USP), Carindacillin sodium (JAN), Geocillin (TN)	 
D01284	Beston (TN), Bisbentiamine (JAN/INN)	 
D01285	Amplit (TN), Lofepramine hydrochloride (JAN/USAN)	6530, 6532
D01286	Coreminal (TN), Flutazolam (JAN/INN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01287	Chirocaine (TN), Levobupivacaine hydrochloride (JAN/USAN)	11280, 6323, 6326, 6328, 6329, 6331, 6334, 6335, 6336
D01288	Dimefline hydrochloride (JAN/USAN), Remeflin (TN)	 
D01289	Suxibuzone (JAN/INN)	 
D01290	Nicergoline (JP17/USAN/INN), Sermion (TN)	146, 147, 148
D01291	Cholexamin (TN), Nicomol (JP17/INN)	 
D01292	Medazepam (JP17/INN), Pamnace (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01293	Ethyl loflazepate (JAN/INN), Meilax (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01294	Ethynodiol diacetate (JAN/USP)	2099, 5241
D01295	Cinnarizine (JAN/USAN/INN)	3269
D01296	Concerta (TN), Metadate (TN), Methylphenidate hydrochloride (JAN/USP), Quillivant xr (TN), Ritalin (TN)	6530, 6531
D01297	Pirenzepine hydrochloride (USAN)	1128, 1129, 1131, 1132, 1133
D01298	Gluconsan-K (TN), Potassium gluconate (JAN/USP)	 
D01299	Chlormadinone acetate (JP17/USAN), Lutoral (TN)	367, 5241
D01300	Clinofibrate (JP17/INN), Lipoclin (TN)	 
D01301	Metenolone enanthate (JP17), Methenolone enanthate (USAN), Primobolan depot (TN)	367
D01302	Apresoline (TN), Hydralazine hydrochloride (JP17/USP)	 
D01303	Flunarizine hydrochloride (JAN/USAN)	8911, 8912, 8913
D01304	Amezinium metilsulfate (JAN), Risumic (TN)	6530
D01305	Feprazone (JAN/INN)	 
D01306	Aplace (TN), Troxipide (JP17/INN)	 
D01307	Midodrine hydrochloride (JAN/USAN), Pro-Amatine (TN)	146, 147, 148
D01308	Halcinonide (JAN/USP/INN), Halog (TN)	2908
D01309	Doxifluridine (JP17/INN), Furtulon (TN)	7298
D01310	Secobarbital sodium (JAN/USP), Seconal sodium (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01311	Amipaque (TN), Metrizamide (JAN/USAN/INN)	 
D01312	Endobil (TN), Iodoxamic acid (JAN/USAN/INN)	 
D01313	Iobenzamic acid (JAN/USAN/INN), Osbil (TN)	 
D01314	Dibenzepin hydrochloride (JAN/USAN)	 
D01315	Methylbenactyzium bromide (JP17/INN)	1128, 1129, 1131, 1132, 1133
D01316	Melex (TN), Mexazolam (JAN/INN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01317	Antivert (TN), Meclizine dihydrochloride monohydrate, Meclizine hydrochloride (JAN/USP)	3269
D01318	Cephadol (TN), Difenidol hydrochloride (JP17), Diphenidol hydrochloride (USAN), Vontrol (TN)	1128, 1129, 1131, 1132, 1133
D01319	Bisibuthiamine (JAN), Sulbutiamine (INN), Youvitan (TN)	 
D01320	Molsidomine (JAN/USAN/INN)	2977
D01321	Setous (TN), Zotepine (JAN/INN)	1813, 3350, 3351, 3352, 3354, 3355
D01322	TAO, Tao (TN), Triacetyloleandomycin (JAN), Troleandomycin (USP/INN)	 
D01323	Azosemide (JP17/USAN/INN), Diart (TN)	6557, 6558
D01324	Kitazemin (TN), Mequitazine (JP17/INN)	3269
D01325	Surgam (TN), Tiaprofenic acid (JAN/INN)	5742, 5743
D01326	Aprindine hydrochloride (JP17/USAN), Aspenon (TN)	11280, 6323, 6326, 6328, 6329, 6331, 6334, 6335, 6336
D01327	Diflorasone diacetate (JP17/USP), Florone (TN), Psorcon (TN)	2908
D01328	Clotiazepam (JP17/INN), Rize (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01329	Oxendolone (JAN/USAN/INN), Prostetin (TN)	367
D01330	Clidanac (JAN/INN)	 
D01331	Betamipron (JP17/INN)	 
D01332	Ketotifen fumarate (JP17/USAN), Zaditen (TN)	3269
D01333	Ebrantil (TN), Urapidil (JP17/INN)	146, 147, 148
D01334	ACPC, Ciclacillin (JP17/INN), Cyclacillin (USAN), Cyclapen-W (TN), Vastcillin (TN)	 
D01335	Dibenzthion (JAN), Sulbentine (INN)	 
D01336	Carbinoxamine maleate (JAN/USP), Clistin (TN), Karbinal er (TN)	3269
D01337	Epoprostenol sodium (JAN/USAN), Flolan (TN), Veletri (TN)	5739
D01338	Ipriflavone (JP17/INN), Osten (TN)	 
D01339	MDM, Medemycin (TN), Midecamycin (JP17/INN)	 
D01340	Naloxone hydrochloride (JP17/USP), Narcan (TN)	4985, 4986, 4988
D01341	Solantal (TN), Tiaramide hydrochloride (JP17/USAN)	 
D01342	IC-Green (TN), Indocyanine green (JAN/USP)	 
D01343	Dimethindene maleate (USAN), Dimetindene maleate (JAN), Forhistal maleate (TN)	3269
D01344	Fenbufen (JP17/USAN/INN)	5742, 5743
D01345	Chlorhexidine hydrochloride (JP17/USAN), Dantroche hibitane (TN)	 
D01346	Bentiromide (JAN/USAN/INN), PFD (TN)	 
D01347	Towk (TN), Tramazoline hydrochloride (JAN/USAN)	146, 147, 148, 150, 151, 152
D01348	Teluron (TN), Terguride (JAN/INN)	1813, 5617
D01349	Pirbuterol hydrochloride (JAN/USAN)	154
D01350	Streptomycin sulfate (JP17/USP), Streptomycin sulfate (TN)	 
D01351	Glafenine (JAN/INN)	 
D01352	Dinoprost tromethamine (JAN/USP), Prostin F2 alpha (TN)	5737
D01353	Emorfazone (JP17/INN), Pentoil (TN)	 
D01354	Erispan (TN), Fludiazepam (JP17/INN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01355	Tramadol hydrochloride (JP17/USAN), Ultram (TN)	4988
D01356	Glymidine sodium (JAN/USAN/INN)	3767, 6833
D01357	Beta-Val (TN), Betamethasone valerate (JP17/USP), Luxiq (TN), Rinderon-V (TN)	2908
D01358	Mianserin hydrochloride (JAN/USAN), Tetramide (TN)	150, 151, 152
D01359	Etomidoline (JAN/INN), Smedolin (TN)	1128, 1129, 1131, 1132, 1133
D01360	Clenbuterol hydrochloride (JAN/USP), Spiropent (TN)	154
D01361	E.E.S. (TN), Eryped (TN), Erythrocin W (TN), Erythromycin ethylsuccinate (JP17/USP)	 
D01362	Hokunalin (TN), Respacal (TN), Tulobuterol hydrochloride (JP17)	154
D01363	Carboplatin (JP17/USP/INN), Paraplatin (TN)	 
D01364	Ciclopirox olamine (JAN/USP), Loprox (TN)	 
D01365	Supacal (TN), Trepibutone (JP17/INN)	 
D01366	Bezafibrate (JP17/USAN/INN), Bezatol SR (TN)	5465
D01367	Fluor-op (TN), Fluorometholone (JP17/USP/INN), Fml (TN), NSC 33001, Oxylone (TN)	2908
D01368	Cyproterone acetate (JAN/USAN)	367
D01369	Bevantolol hydrochloride (JAN/USAN), Calvan (TN), Vantol (TN)	146, 147, 148, 153, 775, 776, 778, 779
D01370	Cladribine (JAN/USAN/INN), Leustatin (TN), Mavenclad (TN)	6240
D01371	Vinpocetine (JAN/USAN/INN)	 
D01372	Amoban (TN), Zopiclone (JAN/INN), Zopiclone (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01373	Foradil (TN), Formoterol fumarate (USAN)	154
D01374	Allylestrenol (JAN/INN), Perselin (TN)	5241
D01375	Metenolone acetate (JP17), Methenolone acetate (USAN), Primobolan (TN)	367
D01376	Iodamide (JAN/USAN/INN), Jodomiron (TN)	 
D01377	Padrin (TN), Prifinium bromide (JAN/INN)	1128, 1129, 1131, 1132, 1133
D01378	Bufogenin (JAN/INN), Resibufogenin	 
D01379	Proscillaridin (JAN/USAN/INN), Talusin (TN)	476, 477, 478, 480
D01380	Isopropylantipyrine (JP17), Propyphenazone (INN), Yoshipyrin (TN)	 
D01381	Crotamiton (JAN/USP/INN), Eurax (TN)	 
D01382	Gemonil (TN), Metharbital (JAN/INN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01383	Demerol (TN), Meperidine hydrochloride (USP), Pethidine hydrochloride (JP17)	4988
D01384	Tolciclate (JAN/USAN/INN)	 
D01385	Ibudilast (JP17/INN), Ketas (TN)	10800, 5139, 5140, 5141, 5142, 5143, 5144, 5739
D01386	Ephedrine hydrochloride (JP17/USP), Ephedrine hydrochloride (TN)	146, 147, 148, 150, 151, 152, 153, 154, 155
D01387	Amcinonide (JAN/USP/INN), Cyclocort (TN)	2908
D01388	Iotroxic acid (JP17/USAN/INN)	 
D01389	Chlophedianol hydrochloride (USAN), Clofedanol hydrochloride (JP17), Coldrin (TN)	 
D01390	Isoproterenol hydrochloride (USP), Isuprel (TN), Proternol-S (TN), dl-Isoprenaline hydrochloride (JAN)	153, 154, 155
D01391	Bromisoval (INN), Bromisovalum, Bromovalerylurea (JP17), Bromovalerylurea (TN), Bromural (TN), Brovarin (TN)	 
D01392	Bredinin (TN), Mizoribine (JP17/INN)	3614, 3615
D01393	Pincets (TN), Piperazine phosphate hydrate (JP17/USP)	 
D01394	Epirizole (JP17/USAN), Mebron (TN)	 
D01395	Actarit (JAN/INN), Orcl (TN)	 
D01396	Anginin (TN), Angioxine (TN), Pyricarbate, Pyridinol carbamate (JAN)	 
D01397	Ampiroxicam (JP17/INN), Flucam (TN)	5742, 5743
D01398	Bismuth subgallate (JP17/USP), Dermatol (TN)	 
D01399	Abstral (TN), Fentanyl citrate (JP17/USP), Fentora (TN), Lazanda (TN), Oralet (TN)	4988
D01400	Methyl parahydroxybenzoate (JP17), Methyl parahydroxybenzoate (TN), Methylparaben (NF), Methylparaben (TN)	 
D01401	CPR, Cefpirome sulfate (JP17/USAN), Cefrom (TN)	 
D01402	Betamethasone acetate (JAN/USP)	2908
D01403	Phenolsulfonic acid (JAN), p-Phenolsulfonic acid	 
D01404	Perazolin (TN), Sobuzoxane (JAN)	7153, 7155
D01405	Norfenefrine hydrochloride (JAN), Zondel (TN)	 
D01406	Tocopherol calcium succinate (JP17), Vitamin-E (TN)	 
D01407	Armai (TN), Thiamphenicol (JAN/USAN/INN), Thiocymetin (TN)	 
D01408	Dalmate (TN), Flurazepam hydrochloride (JP17), Flurazepam monohydrochloride	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D01409	Acetylpheneturide (JAN), Crampol (TN)	 
D01410	Benzydamine hydrochloride (JAN/USAN), Tantum (TN)	240, 5742, 5743
D01411	Lefetamine hydrochloride (JAN)	 
D01412	Perazine maleate (JAN)	1813
D01413	Deladumone (TN), Estradiol valerate (JAN/USP/INN)	2099, 2100
D01414	Ethylestrenol (USAN/INN), Ethylnandrol (JAN), Orabolin (TN)	5241
D01415	CTM-HE, Cefotiam hexetil hydrochloride (JP17), Pansporin-T (TN)	 
D01416	Aqupla (TN), Nedaplatin (JAN/INN)	 
D01417	Meprylcaine hydrochloride (JAN), Oracaine (TN)	 
D01418	Am 80, Amnoid (TN), Tamibarotene (JAN/INN)	5914
D01419	Benzyl nicotinate (JAN), Nicotinic acid benzyl ester	 
D01420	Butyl parahydroxybenzoate (JP17), Butyl parahydroxybenzoate (TN), Butylparaben (NF), Butylparaben (TN)	 
D01421	Aminohippurate sodium (USP), Paraaminohippurate (TN), Sodium p-aminophippurate (JAN), p-Aminohippurate sodium	 
D01422	Propyl parahydroxybenzoate (JP17), Propyl parahydroxybenzoate (TN), Propylparaben (NF)	 
D01423	IPD (TN), Suplatast tosilate (JAN/INN), Suplatast tosylate	 
D01424	Aluminum lactate (JAN)	 
D01425	Lopinavir (JAN/USAN/INN)	 
D01426	Haisigyn (TN), Tindamax (TN), Tinidazole (JP17/USP/INN)	 
D01427	Benproperine phosphate (JAN), Flaveric (TN)	 
D01428	Berotec (TN), Fenoterol hydrobromide (JAN)	154
D01429	Fosfluconazole (JAN/INN), Prodif (TN)	 
D01430	Thiola (TN), Tiopronin (JAN/INN)	 
